,title,views,date,price,link
17,(완료)미세먼지/불쾌지수 공기측정기 SKT 에어큐브 SN-100T 미사용 제품 직거래 선호 삼성동 근처,53,16.09.05.,"50,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=451&articleid=334992398&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
18,"판매완료---사진有) bramc 초미세먼지 측정기 판매합니다. (공기측정기,포름알데히드 측정기)",773,16.03.13.,1,https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=451&articleid=309159451&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
19,(판매완료)휴대용 공기 측정기,151,15.10.05.,"50,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=451&articleid=285836124&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
20,"미쉐린 타이어 공기주입기,디지털 측정기포함",65,15.08.05.,"50,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=473&articleid=277850294&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
21,"미쉐린 타이어 공기주입기,디지털 측정기포함",138,15.08.04.,"50,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=473&articleid=277712138&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
22,"미쉐린 타이어 공기주입기,디지털 측정기포함",148,15.08.02.,"50,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=473&articleid=277493160&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
23,"미쉐린 디지털타이어 공기주입기, 디지털측정기 포함",126,15.07.31.,"50,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=473&articleid=277246953&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
24,차량용 에어 컴프레셔/공기압 체크 공기 주입기 조명 측정기,764,15.07.05.,"40,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=473&articleid=273616224&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
25,SK 에어큐브 공기측정기 보급형 미개봉 저렴하게 판매합니다.,92,15.05.20.,6,https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=451&articleid=267217626&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
26,"SK에어큐브 공기측정기 보급형,고급형 미개봉 저렴하게 판매합니다.",154,15.04.29.,"1,111",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=427&articleid=264405964&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
27,아기방 공기상태측정기 싸게 팝니다,136,14.11.04.,"80,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=378&articleid=236133850&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
28,실내공기질 라돈측정기 safetysiren pro series3. 14만 택포,291,14.08.05.,"140,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=488&articleid=222857683&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
29,"쏘서, 소서 팔아용~(직거래- 부산, 2만원) - 온,습도,공기청정 측정기 서비스 드립니다.",204,14.03.22.,"20,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=379&articleid=204703673&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
30,포름측정기 z-300xp 팝니다~!! 반딧불이에서 실내공기질을 측정한 기계입니다,324,13.10.31.,"1,100,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=488&articleid=184523199&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
31,md tpms 센서기 공기측정기 1대분 팝니다,60,13.10.10.,"100,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=474&articleid=181343556&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
32,"포스트 제목을 입력하세콤프레셔,리프트,에어릴,CO,HC측정기,광택기,자동공기주입기,연막살균소독기요",614,13.06.08.,50,https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=489&articleid=164467121&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
33,타이어독 공기측정기 팔아요,870,11.05.16.,"160,000",https://m.cafe.naver.com//ArticleRead.nhn?clubid=10050146&menuid=473&articleid=77216583&query=%EA%B3%B5%EA%B8%B0%EC%B8%A1%EC%A0%95%EA%B8%B0++++++++++++++++++++++++++++
